id,name,registry_code,favicon,is_unicorn,industries,business_types,lists,display_name,turnover,labour_taxes,employees,lq_turnover,lq_labour_taxes,lq_employees,ly_turnover,ly_labour_taxes,ly_employees,employees_change,turnover_change_percentage,labour_taxes_change_percentage,ly_employees_change,ly_turnover_change_percentage,ly_labour_taxes_change_percentage
692dfec8-25fa-424f-90ef-bc69840bb54a,PACTUM AI OÜ,14809780,/logos/static/14809780.webp,False,['Software & Services'],"['B2B', 'B2C', 'B2B2C']","['EstVCA2023', 'Superangel', 'ALL', 'EstVCA2024']",PACTUM AI OÜ,1983038.75,546394.86,60.0,1668869.18,463169.28,56.0,5086080.87,389405.66,42.0,4.0,19,18,18.0,-61,40
be966f2e-588b-4470-8a4a-73324d8d5341,ONOFFAPP OÜ,12642134,/logos/static/12642134.webp,False,['Telecommunication & Services'],['B2B2C'],['ALL'],ONOFF APP OÜ,3906292.68,495537.36,57.0,2394221.54,468952.77,54.0,2440482.69,422573.34,52.0,3.0,63,6,5.0,60,17
e72ebc00-b59f-445d-b34b-ceb3ebbbd090,ERPLY DEVELOPMENT OÜ,14050021,/logos/static/14050021.webp,False,['E-commerce'],['B2B'],['ALL'],SHOPZ.COM,859319.73,279225.89,57.0,695139.74,239243.00,49.0,538323.47,174371.86,35.0,8.0,24,17,22.0,60,60
99415605-d538-4190-a4cb-e5e001d96164,SIXFOLD OÜ,14888822,/logos/static/14888822.ico,False,[],[],['ALL'],SIXFOLD OÜ,1605483.89,634150.20,56.0,1211641.62,498872.06,56.0,1144502.41,359494.52,48.0,0.0,33,27,8.0,40,76
5d032c7c-408d-45a2-a2b6-20e89d6033fa,TURNIT OÜ,12851752,/logos/static/12851752.webp,False,"['Road & Rail', 'Software & Services', 'Transportation']","['B2B', 'B2G', 'B2B2C']",['ALL'],TURNIT,2989348.99,445596.30,54.0,2084720.79,423818.53,56.0,1142219.27,377230.42,55.0,-2.0,43,5,-1.0,162,18
4659ab48-1f25-49c2-b4a3-fe12ae2fc7aa,COMODULE OÜ,12699057,/logos/static/12699057.ico,False,"['Hardware & Electronic Equipment', 'Software & Services']","['B2C', 'B2B2C', 'B2B']","['EstVCA2023', 'ALL', 'EstVCA2024']",COMODULE,2681208.47,291588.00,53.0,3918168.38,311788.92,51.0,6689376.78,710859.96,140.0,2.0,-32,-6,-87.0,-60,-59
75ee3bc4-d225-4072-a689-f86ea967693d,INSLY OÜ,12514106,,False,"['Fintech', 'Software & Services']","['B2B', 'B2B2C']",['ALL'],INSLY LTD,961074.29,274545.48,51.0,1176735.48,241919.95,49.0,1136070.35,219902.91,50.0,2.0,-18,13,1.0,-15,25
2dd7e265-bfb6-4ca4-a482-5c1a25213983,PERFORCE SOFTWARE OÜ,11655017,,False,[],[],['ALL'],PERFORCE SOFTWARE OÜ,3212815.74,444643.05,45.0,2371855.25,650671.07,48.0,3138865.94,552034.54,62.0,-3.0,35,-32,-17.0,2,-19
8b5de3c5-8e9a-43e1-8a4e-24c243fdefc7,EVOCON OÜ,12977378,/logos/static/12977378.webp,False,"['Engineering', 'Software & Services']",['B2B'],['ALL'],EVOCON OÜ,2295571.68,256611.66,45.0,1176040.53,226327.41,40.0,1740380.47,190159.14,33.0,5.0,95,13,12.0,32,35
43ec41b9-f07c-4ae0-9ece-51cdb2bbc9e0,AMPLER BIKES OÜ,12733110,/logos/static/12733110.webp,False,"['Transportation', 'Engineering']",['B2C'],['ALL'],AMPLER BIKES,840485.03,184049.39,44.0,482234.29,88139.70,32.0,1458883.93,263105.03,56.0,12.0,74,109,-12.0,-42,-30
b682e9ad-47af-47ec-baa4-b641c6beed29,GSCAN OÜ,14445579,/logos/static/14445579.webp,False,"['Deep tech', 'Machinery & Electrical', 'Manufacturing']","['B2B', 'B2G']",['ALL'],GSCAN,632542.45,276097.54,43.0,340996.09,244865.30,43.0,221138.38,241626.00,41.0,0.0,85,13,2.0,186,14
199f114d-1ecd-469e-ae6d-4038ae2cd045,STEBBY OÜ,12231911,/logos/static/12231911.webp,False,[],[],"['EstVCA2022', 'EstVCA2023', 'ALL']",STEBBY OÜ,1273555.46,288409.96,42.0,1144781.24,257412.00,40.0,1058365.74,214170.32,37.0,2.0,11,12,5.0,20,35
587e7def-0569-44aa-ba00-757eb368600e,HUUM OÜ,12561761,/logos/static/12561761.webp,False,[],[],['ALL'],HUUM,5716036.38,224118.68,41.0,5047624.49,187123.80,36.0,3552952.32,184479.07,34.0,5.0,13,20,7.0,61,21
fb3b499a-48e3-4356-95ea-76c5a45d6821,CYBEXER TECHNOLOGIES OÜ,14013437,,False,[],[],"['ALL', 'EstVCA2022', 'EstVCA2023', 'EstVCA2024']",CYBEXER TECHNOLOGIES,1859612.08,378568.29,39.0,1836159.35,604586.01,39.0,1638054.40,380267.50,34.0,0.0,1,-37,5.0,14,0
fec77cab-e9b9-4b0d-bd08-df064feda5c3,R8 TECHNOLOGIES OÜ,14219268,/logos/static/14219268.webp,False,"['Proptech', 'Cleantech']",['B2B'],['ALL'],R8 TECHNOLOGIES,960182.95,253561.42,39.0,884177.56,237898.54,40.0,910783.64,237395.43,34.0,-1.0,9,7,5.0,5,7
a48f9349-9233-4582-bf93-2831a6eafbc1,DEFENDEC OÜ,11306995,,False,[],[],"['EstVCA2024', 'ALL', 'EstVCA2023']",DEFENDEC OÜ,2487611.75,181652.82,38.0,2298226.28,174349.37,36.0,1018213.42,167469.64,37.0,2.0,8,4,1.0,144,8
49320cca-01ac-4da1-8634-4b684a6eb51d,BONDORA AS,11483929,/logos/static/11483929.webp,False,[],[],['ALL'],BONDORA AS,2847878.84,206918.52,34.0,2712076.16,204734.39,35.0,2420837.59,187788.81,33.0,-1.0,5,1,1.0,18,10
