id|company|is_unicorn|industries|display_name|turnover|employees|employees_change|turnover_change_percentage
13c2ef1b-adc4-40ab-ba02-502cce459b97|COSTPOCKET OÜ|False|['Fintech', 'Software & Services']|COSTPOCKET|251974.28|6.0|-1.0|4
277bcc0b-210f-4ff1-af40-aad83741602f|CLOUD FACTORY OÜ|False|['Creative Industries', 'Textiles, Apparel & Luxury Goods', 'Manufacturing']|CLOUD FACTORY|147960.43|6.0|0.0|147
2c121324-93c0-44b2-bf34-be04363b9bb8|AUTOBAHN TECHNOLOGIES OÜ|False|['Data & Analytics', 'Software & Services', 'Manufacturing']|AUTOBAHN|266658.50|6.0|1.0|15
2d9141ff-ddf7-45cd-befc-8ddee6a1cb37|TARKVENT OÜ|False|['Proptech', 'Cleantech', 'Energy']|CALIDITY|111667.42|6.0|-1.0|-33
513c3321-d296-4393-acb0-50e472b9eae5|FEELINGSTREAM OÜ|False|['Software & Services', 'Data & Analytics']|FEELINGSTREAM|243178.74|6.0|-1.0|69
6cd94b4a-53de-41e8-bb8c-0fdcfc4de8cc|SYNTACTIC OÜ|False|['Data & Analytics', 'Deep tech']|PARSIQ|306663.86|6.0|-1.0|7
7ed41e23-4ade-484e-9ac7-5860057a17fb|SINGLE.EARTH OÜ|False|['Fintech', 'Cleantech']|SINGLE.EARTH||6.0|0.0|
983bc7f9-5309-4cf6-b975-b1bbef5b4725|ELIKO LOCATION TECHNOLOGIES OÜ|False|['Manufacturing', 'Deep tech', 'Hardware & Electronic Equipment']|ELIKO RTLS|110953.49|6.0|4.0|110
a46924a8-33e8-46d5-9b1c-07f123c6f7f2|ELIIS TARKVARA OÜ|False|['Software & Services', 'Edtech']|ELIIS|91046.26|6.0|0.0|11
a565d400-1645-491f-aa9c-d4205a3646ce|WEMPLY OÜ|False|['Software & Services']|WEMPLY|216630.45|6.0|4.0|32
d7d72395-2638-433c-94d4-6e3a65c60032|ENVOICE OÜ|False|['Software & Services']|ENVOICE|168019.82|6.0|-1.0|0
08c43f4b-8588-461b-ad16-26294a090762|10LINES OÜ|False|['Deep tech', 'Machinery & Electrical', 'Software & Services']|10LINES|13460.26|5.0|-2.0|-84
2aa57f19-b50a-41a0-8640-5e145c780fab|FIENTA TICKETING OÜ|False|['Software & Services', 'Fintech']|FIENTA|336305.85|5.0|0.0|-5
9b54bfc1-d16f-420b-a112-92fe8cbf1943|GPO OÜ|False|['Energy', 'Software & Services', 'Consumer Electronics & Appliances']|GPO|9627.20|5.0|0.0|-53
a6b7fc7f-8875-43fc-b6a6-8795fa4f4bf3|HAUSING TECHNOLOGIES OÜ|False|['Software & Services', 'Proptech']|HAUSING|82629.46|5.0|0.0|19
ba31457f-e10d-4d70-9f76-1409795f0fd1|EID EASY OÜ|False|['Deep tech', 'Fintech', 'Legaltech']|EID EASY|225126.57|5.0|0.0|32
c88e25e3-990d-470b-9c31-30e33301dcd9|ZEROFY OÜ|False|['Cleantech', 'Energy']|ZEROFY|316581.18|5.0|1.0|-30
d81ea2d0-8dce-4d2a-b107-9b7125e2d6fd|AS BERCMAN TECHNOLOGIES|False|['Consumer Services', 'Household & Personal Products', 'Manufacturing']|BERCMAN TECHNOLOGIES|76482.54|5.0|0.0|-6
d93d162f-077f-4c6b-a99a-938fe6414b11|ADOPTOMEDIA OÜ|False|['Software & Services', 'Manufacturing']|ADOPTOMEDIA|42500.00|5.0|0.0|6
ec7852f7-5296-460e-99c8-7bc60a3cdc52|OÜ SYNBASE|False|['Medical Devices', 'Science Tools & Services', 'Healthcare']|SYNBASE|214615.58|5.0|1.0|22
f8a05d07-dbab-4abf-972a-6bb396fdae55|SOFTCOMPLY OÜ|False|['Medical Devices', 'Aerospace', 'Healthcare']|SOFTCOMPLY|271389.14|5.0|0.0|21
0c360f18-aafb-492f-8337-290702966106|CAREMATE OÜ|False|['Software & Services', 'Healthcare', 'Telecommunication & Services']|CAREMATE|21859.49|4.0|0.0|21
31020f09-1d75-45da-9da7-7fbfb01b830f|PATCHSTACK OÜ|False|['Deep tech']|PATCHSTACK|736054.25|4.0|-2.0|19
33774575-da08-4036-9da8-ee176307da66|OUTFUNNEL OÜ|False|['Software & Services']|OUTFUNNEL|210531.99|4.0|0.0|10
36923877-3789-4c3f-86b4-f02a40670be2|TEXTA OÜ|False|['Data & Analytics', 'Software & Services']|TEXTA OÜ|97860.17|4.0|0.0|37
4e3ae2b2-8b50-4e57-b7c5-b6672844ac22|SECNORA OÜ|False|['Software & Services']|CYBERARCH CONSULTING OÜ|65653.32|4.0|3.0|3
6658557a-6b33-4dce-83b5-7c5ce50ffd79|HIGH-MOBILITY OÜ|False|['Software & Services']|HIGH MOBILITY|118070.80|4.0|-2.0|16
82432bbf-2fd9-469c-95fb-ab5c7f9722ba|TRAXBY OÜ|False|['Telecommunication & Services', 'Software & Services']|TRAXBY|55902.73|4.0|0.0|-26
934deff0-e5db-4e12-9dca-9fc2ac056def|FOODDOCS OÜ|False|['Software & Services']|FOODDOCS|129247.81|4.0|0.0|-30
9e40f08e-6d3a-4a71-95b0-a150845ada24|GELATEX TECHNOLOGIES OÜ|False|['Materials & Chemicals', 'Biotechnology', 'Machinery & Electrical']|GELATEX|103292.36|4.0|-1.0|80
b286ea7e-bb96-4f79-8943-1f79b58c03a2|LTMED OÜ|False|['Medical Devices', 'Healthcare']|NEURAKINESIS|184769.22|4.0|0.0|-17
b3e757de-ad57-43ab-96e0-91ba5948c29d|FLOWSTEPDESIGN OÜ|False|['Software & Services']|FLOWSTEP|16880.00|4.0|0.0|8
bab04ffd-0284-4423-98e0-fc94c091db05|MULTILOGIN SOFTWARE OÜ|False|['Software & Services']|MULTILOGIN|2067821.92|4.0|-2.0|-5
dd157c78-ea11-4dee-a870-310ca1ac8c9a|VEERA OÜ|False|['Fintech', 'Software & Services']|VEERA|161831.01|4.0|0.0|10
dda02617-54fb-4e2c-8d79-936651c015ed|FLEETGURU OÜ|False|['Data & Analytics', 'Automotive', 'Software & Services']|FLEETGURU|103446.69|4.0|1.0|34
01347f91-965c-426c-8dbb-bf1dc990076a|VETIK OÜ|False|['Cleantech', 'Agriculture, Aquaculture & Agritech']|VETIK OÜ|3086.98|3.0|0.0|
